date,load,temperature,,
25/01/2019 19:00,1689.31,25.4,,
25/01/2019 20:00,1833.55,25.6,,
25/01/2019 21:00,1722.1,25.6,,
25/01/2019 22:00,1739.58,27.5,,
25/01/2019 23:00,1816.07,27.6,,
26/01/2019 0:00,1695.87,26.9,,
26/01/2019 1:00,1746.13,24.9,,
26/01/2019 2:00,1840.11,26.2,,
26/01/2019 3:00,1787.66,26.8,,
26/01/2019 4:00,1782.5,26.7,,
26/01/2019 5:00,1764.94,27.4,,
26/01/2019 6:00,1757.06,28.4,,
26/01/2019 7:00,1692.5,27,,
26/01/2019 8:00,1717.72,27.9,,
26/01/2019 9:00,1761.43,26.2,,
26/01/2019 10:00,1715.54,25.9,,
26/01/2019 11:00,1729.82,26,,
26/01/2019 12:00,1770.17,25.6,,
26/01/2019 13:00,1691.5,25.8,,
26/01/2019 14:00,1738.6,26.8,,
26/01/2019 15:00,1701.28,27.6,,
26/01/2019 16:00,1802.26,26.1,,
26/01/2019 17:00,1696.89,26.6,,
26/01/2019 18:00,1692.5,25.8,,
26/01/2019 19:00,1830.8,25.8,,
26/01/2019 20:00,1692.5,26.8,,
26/01/2019 21:00,1701.28,25.7,,
26/01/2019 22:00,1793.48,26.6,,
26/01/2019 23:00,1710.06,26.3,,
27/01/2019 0:00,1695.65,27.4,,
27/01/2019 1:00,1727.62,24.2,,
27/01/2019 2:00,1693.44,25.4,,
27/01/2019 3:00,1750.77,25.6,,
27/01/2019 4:00,1700.97,25.6,,
27/01/2019 5:00,1702.26,27.5,,
27/01/2019 6:00,1733.13,27.6,,
27/01/2019 7:00,1747.48,26.9,,
27/01/2019 8:00,1747.48,24.9,,
27/01/2019 9:00,1746.36,26.2,,
27/01/2019 10:00,1720.9,26.8,,
27/01/2019 11:00,1716.65,26.7,,
27/01/2019 12:00,1690.3,27.4,,
